icao24;callsign;baro_altitude;heading;last_contact;latitude;longitude;on_ground;origin_country;squawk;time_position;velocity;vertical_rate
4952c7;TAP437K;3657.6;278.97;1583151079;48.6813;1.6307;False;Portugal;7647;1583151079;158.33;0
4b180b;SWR61D;7002.78;308.92;1583151080;48.1623;4.4371;False;Switzerland;1000;1583151080;209.62;0
344487;AEA1036;1493.52;265.67;1583151079;48.9898;2.4394;False;Spain;7651;1583151079;95.44;8.13
47a039;NAX91H;10363.2;37.09;1583151080;49.7791;2.5018;False;Norway;5531;1583151079;245.7;0
a2d580;AAL719;10363.2;334.99;1583151080;49.0094;3.0217;False;United States;4052;1583151079;245.8;0
3946e3;AFR31CP;4518.66;20.82;1583151080;49.2799;2.434;False;France;0646;1583151080;183.83;15.93
44b430;OOMAP;9464.04;142.45;1583151079;48.8554;2.1585;False;Belgium;2211;1583151079;207.64;0
440095;EJU73XL;;267.19;1583151006;48.9944;2.5619;True;Austria;1000;1583151006;6.94;
40087a;BAW45T;11590.02;320.31;1583151079;48.3801;4.2083;False;United Kingdom;5762;1583151079;219.93;0
44002e;FSE1B;12192;326.01;1583151080;48.9102;3.2017;False;Austria;5755;1583151079;245.7;0.33
484442;KLM15P;1615.44;265.4;1583151079;49.0435;2.8852;False;Kingdom of the Netherlands;1000;1583151079;102.7;-5.85
3991e3;AFR37PH;7078.98;264.43;1583151079;48.9194;1.2688;False;France;7637;1583151079;190.73;10.08
3991e2;AFR83HD;2171.7;265.16;1583151080;48.9824;2.3073;False;France;7650;1583151079;134.23;9.43
3991e7;AFR158Z;1424.94;190.28;1583151079;49.0708;3.0615;False;France;6332;1583151079;123.91;1.63
3991e9;AFR1744;6096;89.17;1583151080;49.0832;3.1007;False;France;0642;1583151079;213.52;7.15
4006eb;EXS53F;2293.62;110.9;1583151080;49.2075;2.8432;False;United Kingdom;7572;1583151079;151.43;-4.23
4951d3;TAP756;10972.8;41.38;1583151079;49.1548;1.4479;False;Portugal;2352;1583151079;242.02;-0.33
3944e4;AFR32FU;4747.26;281.47;1583151079;48.731;1.2125;False;France;1000;1583151079;181.1;14.31
3944ee;AFR113M;2415.54;329.83;1583151079;48.8025;3.397;False;France;1000;1583151079;139.23;-3.9
3944ef;AFR93EK;289.56;343.12;1583151076;48.7272;2.3562;True;France;1000;1583151071;0;
392af1;AFR41HW;4564.38;43.91;1583151080;48.7091;1.7012;False;France;1000;1583151080;191.38;0
49528e;TAP678;11582.4;37.18;1583151080;48.4435;0.6022;False;Portugal;1000;1583151079;246.01;0
020108;MAC112N;11277.6;200.26;1583151079;48.4471;2.4209;False;Morocco;7105;1583151079;224.29;-0.33
490d07;NJE996Q;12192;322.88;1583151079;49.2699;2.3412;False;Portugal;6754;1583151079;233.56;0
4ca99c;AZA226;11277.6;320.44;1583151079;48.8503;4.0172;False;Ireland;7522;1583151079;230.21;0
44ce6b;BEL42B;10363.2;11.76;1583151079;48.71;1.3772;False;Belgium;1000;1583151079;244.87;0
896329;ETD47K;5013.96;259.33;1583151079;49.532;4.2852;False;United Arab Emirates;3223;1583151078;163.86;-8.13
394e88;CRL924;;253.12;1583151033;48.7279;2.3765;True;France;0660;1583151030;0;
399e61;FHHTB;586.74;269.49;1583151049;48.893;1.9706;False;France;4217;1583150982;58.13;-1.63
4ca947;EIN40X;10965.18;323.16;1583151080;48.1621;4.65;False;Ireland;5763;1583151080;225.64;0
3c0c0c;AHO635V;5791.2;75.58;1583151080;49.2784;4.4183;False;Germany;0645;1583151080;223.1;0.33
3965a0;AFR338;906.78;265.68;1583151079;48.9941;2.5209;False;France;0643;1583151079;88.74;12.68
02a196;TAR716;381;254.34;1583151080;48.7301;2.4165;False;Tunisia;1000;1583151079;70.52;-4.55
40655b;EXS1310;11567.16;313.85;1583151080;49.5809;2.8188;False;United Kingdom;7520;1583151079;216.85;0
394c17;AFR78ZQ;9235.44;189.66;1583151079;48.1116;2.0265;False;France;1000;1583151078;193.08;12.35
396663;FPO952;2933.7;330.58;1583151079;48.6988;3.4875;False;France;1036;1583151079;147.66;-7.15
478354;SAS68M;11277.6;204.99;1583151079;49.0164;2.7451;False;Norway;0733;1583151079;226.47;0
478353;SAS837;876.3;265.29;1583151079;49.0339;2.6975;False;Norway;3525;1583151079;87.75;-4.55
4d0218;SVW50MC;1051.56;246.41;1583151079;48.9592;2.404;False;Luxembourg;0663;1583151079;88.69;18.21
3c48f1;EWG9407;7010.4;73.7;1583151080;49.3237;4.7541;False;Germany;1000;1583151079;196.17;0
484135;TRA82E;11582.4;40.24;1583151079;48.5493;0.7972;False;Kingdom of the Netherlands;1000;1583151079;250.04;-0.33
405f12;EZY87QY;10363.2;337.3;1583151079;48.6131;3.1615;False;United Kingdom;6756;1583151079;242.58;0
405f13;EZY83RL;11277.6;164.69;1583151079;47.9299;0.8617;False;United Kingdom;5245;1583151078;229.89;0.33
4d00da;LGL8014;4503.42;89.65;1583151079;49.0861;3.2727;False;Luxembourg;5644;1583151079;167.2;9.75
3b770d;CTM0014;480.06;267.65;1583151080;48.775;2.2355;False;France;4340;1583151079;62.81;-3.9
4ca4f5;RYR83QM;11582.4;334.6;1583151079;48.5768;3.3633;False;Ireland;4055;1583151079;226.66;0
3950ca;AFR87FR;9136.38;152.85;1583151080;48.1416;2.733;False;France;7645;1583151079;201.78;5.53
