Code;Libellé;Population municipale 2016;Boulangerie 2017
01001;L'Abergement-Clémenciat;767;1
01002;L'Abergement-de-Varey;243;0
01004;Ambérieu-en-Bugey;14081;8
01005;Ambérieux-en-Dombes;1671;1
01006;Ambléon;110;0
01007;Ambronay;2684;1
01008;Ambutrix;750;0
01009;Andert-et-Condon;336;0
01010;Anglefort;1124;1
01011;Apremont;383;0
01012;Aranc;326;0
01013;Arandas;148;0
01014;Arbent;3379;0
01015;Arboys en Bugey;640;0
01016;Arbigny;462;0
01017;Argis;438;0
01019;Armix;26;0
01021;Ars-sur-Formans;1389;1
01022;Artemare;1227;5
01023;Asnières-sur-Saône;63;0
01024;Attignat;3270;2
01025;Bâgé-Dommartin;4088;2
01026;Bâgé-le-Châtel;915;2
01027;Balan;2856;1
01028;Baneins;596;0
01029;Beaupont;685;1
01030;Beauregard;885;1
01031;Bellignat;3618;2
01032;Béligneux;3314;2
01033;Valserhône;16302;12
01034;Belley;9133;10
01035;Belleydoux;317;0
01036;Valromey-sur-Séran;1299;1
01037;Bénonces;294;0
01038;Bény;762;1
01039;Béon;464;0
01040;Béréziat;494;1
01041;Bettant;750;0
01042;Bey;276;0
01043;Beynost;4557;3
01044;Billiat;611;0
01045;Birieux;285;0
01046;Biziat;857;0
01047;Blyes;993;2
01049;La Boisse;3021;3
01050;Boissey;338;0
01051;Bolozon;89;0
01052;Bouligneux;319;0
01053;Bourg-en-Bresse;41365;34
01054;Bourg-Saint-Christophe;1325;0
01056;Boyeux-Saint-Jérôme;354;0
01057;Boz;515;0
01058;Brégnier-Cordon;849;1
01060;Brénod;522;1
01061;Brens;1169;0
01062;Bressolles;891;0
01063;Brion;515;0
01064;Briord;991;1
01065;Buellas;1767;1
01066;La Burbanche;71;0
01067;Ceignes;253;0
01068;Cerdon;785;1
01069;Certines;1532;1
01071;Cessy;4836;1
01072;Ceyzériat;3138;2
01073;Ceyzérieu;1012;1
01074;Chalamont;2406;2
01075;Chaleins;1296;2
01076;Chaley;137;0
01077;Challes-la-Montagne;193;0
01078;Challex;1450;1
01079;Champagne-en-Valromey;825;2
01080;Champdor-Corcelles;657;0
01081;Champfromier;729;1
01082;Chanay;633;0
01083;Chaneins;898;1
01084;Chanoz-Châtenay;833;0
01085;La Chapelle-du-Châtelard;387;0
01087;Charix;285;0
01088;Charnoz-sur-Ain;923;0
01089;Château-Gaillard;2080;1
01090;Châtenay;333;0
01092;Châtillon-la-Palud;1574;1
01093;Châtillon-sur-Chalaronne;4886;6
01094;Chavannes-sur-Reyssouze;750;0
01095;Nivigne et Suran;805;1
01096;Chaveyriat;1006;1
01098;Chazey-Bons;1079;0
01099;Chazey-sur-Ain;1513;1
01100;Cheignieu-la-Balme;136;0
01101;Chevillard;153;0
01102;Chevroux;957;1
01103;Chevry;1643;1
01104;Chézery-Forens;460;1
01105;Civrieux;1606;1
01106;Cize;170;0
01107;Cleyzieu;135;0
01108;Coligny;1187;2
01109;Collonges;2223;1
01110;Colomieu;131;0
01111;Conand;120;0
01112;Condamine;414;0
01113;Condeissiat;825;1
01114;Confort;620;0
01115;Confrançon;1331;0
01116;Contrevoz;500;1
01117;Conzieu;146;0
01118;Corbonod;1255;0
01121;Corlier;113;0
01123;Cormoranche-sur-Saône;1118;1
01124;Cormoz;662;1
01125;Corveissiat;625;0
01127;Courmangoux;505;1
01128;Courtes;310;0
01129;Crans;263;0
01130;Bresse Vallons;2263;2
01133;Cressin-Rochefort;393;0
01134;Crottet;1734;0
01135;Crozet;2126;1
01136;Cruzilles-lès-Mépillat;855;0
01138;Culoz;3053;2
01139;Curciat-Dongalon;443;0
01140;Curtafond;770;0
01141;Cuzieu;436;0
01142;Dagneux;4706;1
01143;Divonne-les-Bains;9465;3
01145;Dompierre-sur-Veyle;1164;1
01146;Dompierre-sur-Chalaronne;431;0
01147;Domsure;483;0
01148;Dortan;1846;3
01149;Douvres;1053;0
01150;Drom;217;0
01151;Druillat;1157;1
01152;Échallon;760;0
01153;Échenevex;2172;0
01155;Évosges;145;0
01156;Faramans;801;0
01157;Fareins;2203;1
01158;Farges;1013;0
01159;Feillens;3254;2
01160;Ferney-Voltaire;9637;4
01162;Flaxieu;69;0
01163;Foissiat;2062;2
01165;Francheleins;1574;0
01166;Frans;2334;0
01167;Garnerans;654;0
01169;Genouilleux;600;1
01170;Béard-Géovreissiat;1039;0
01171;Géovreisset;891;1
01173;Gex;12652;5
01174;Giron;180;0
01175;Gorrevod;861;0
01177;Grand-Corent;174;0
01179;Grièges;1881;2
01180;Grilly;808;0
01181;Groissiat;1223;0
01183;Guéreins;1435;1
01184;Hautecourt-Romanèche;784;0
01185;Plateau d'Hauteville;4845;4
01187;Haut Valromey;695;0
01188;Illiat;615;0
01189;Injoux-Génissiat;1147;0
01190;Innimond;98;0
01191;Izenave;162;0
01192;Izernore;2257;2
01193;Izieu;242;0
01194;Jassans-Riottier;6391;3
01195;Jasseron;1762;2
01196;Jayat;1166;1
01197;Journans;355;1
01198;Joyeux;274;0
01199;Jujurieux;2181;2
01200;Labalme;212;0
01202;Lagnieu;7090;2
01203;Laiz;1213;0
01204;Le Poizat-Lalleyriat;712;1
01206;Lantenay;272;0
01207;Lapeyrouse;324;0
01208;Lavours;127;0
01209;Léaz;719;0
01210;Lélex;225;1
01211;Lent;1416;1
01212;Lescheroux;727;1
01213;Leyment;1285;1
01214;Leyssard;153;0
01215;Surjoux-Lhopital;126;0
01216;Lhuis;890;1
01219;Lompnas;169;0
01224;Loyettes;3145;2
01225;Lurcy;379;0
01227;Magnieu;640;0
01228;Maillat;623;2
01229;Malafretaz;1188;1
01230;Mantenay-Montlin;310;0
01231;Manziat;1977;1
01232;Marboz;2226;3
01233;Marchamp;131;0
01234;Marignieu;173;0
01235;Marlieux;1068;1
01236;Marsonnas;981;1
01237;Martignat;1627;1
01238;Massieux;2519;1
01239;Massignieu-de-Rives;613;0
01240;Matafelon-Granges;645;0
01241;Meillonnas;1332;1
01242;Mérignat;126;0
01243;Messimy-sur-Saône;1210;0
01244;Meximieux;7669;7
01245;Bohas-Meyriat-Rignat;895;0
01246;Mézériat;2134;1
01247;Mijoux;340;0
01248;Mionnay;2132;1
01249;Miribel;9742;5
01250;Misérieux;1938;0
01252;Mogneneins;774;0
01254;Montagnat;1960;2
01255;Montagnieu;609;1
01257;Montanges;341;0
01258;Montceaux;1182;1
01259;Montcet;675;1
01260;Le Montellier;293;0
01261;Monthieux;648;0
01262;Montluel;7005;4
01263;Montmerle-sur-Saône;3811;2
01264;Montracol;1052;0
01265;Montréal-la-Cluse;3409;3
01266;Montrevel-en-Bresse;2463;3
01267;Nurieux-Volognat;1030;1
01268;Murs-et-Gélignieux;255;0
01269;Nantua;3482;2
01272;Neuville-les-Dames;1505;1
01273;Neuville-sur-Ain;1741;1
01274;Les Neyrolles;636;0
01275;Neyron;2507;1
01276;Niévroz;1577;0
01277;Nivollet-Montgriffon;118;0
01279;Oncieu;94;0
01280;Ordonnaz;146;0
01281;Ornex;4400;1
01282;Outriaz;261;0
01283;Oyonnax;22559;16
01284;Ozan;674;1
01285;Parcieux;1188;0
01286;Parves et Nattages;937;0
01288;Péron;2584;1
01289;Péronnas;6287;4
01290;Pérouges;1205;2
01291;Perrex;824;0
01293;Peyriat;164;0
